"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"sigma.p.sp",0.383,0.32,0.46,1.006,NA,"1","0","2","all","ms"
"p.yr",-0.178,-0.276,-0.083,1.065,-0.5,"1","0","2","all","ms"
"sigma.p.site",1.52,1.473,1.565,0.997,1.5,"1","0","2","all","ms"
"per_chage_bci",30.4316297090597,25.4310466830611,36.1490348528735,NA,46.211715726001,"1","0","2","all","ms"
"mu.psi",0.529,0.362,0.658,1.095,0,"-0.5","-0.5","3","all","ms"
"sigma.psi.sp",0.638,0.524,0.777,1.005,0.5,"-0.5","-0.5","3","all","ms"
"mu.psi.yr",-0.394,-0.518,-0.271,1.016,-0.5,"-0.5","-0.5","3","all","ms"
"sigma.psi.yr",0.251,0.157,0.345,1.007,0.2,"-0.5","-0.5","3","all","ms"
"mu.p",-2.279,-2.389,-2.164,1.019,-0.5,"-0.5","-0.5","3","all","ms"
"sigma.p.sp",0.365,0.302,0.445,1.021,NA,"-0.5","-0.5","3","all","ms"
"p.yr",-0.896,-1.039,-0.76,1.026,-0.5,"-0.5","-0.5","3","all","ms"
"sigma.p.site",1.578,1.521,1.632,1.002,1.5,"-0.5","-0.5","3","all","ms"
"per_chage_bci",-15.2036177300655,-20.4290894220925,-10.3814626583481,NA,-24.4918662403709,"-0.5","-0.5","3","all","ms"
"mu.psi",0.392,0.223,0.601,1.206,0,"-0.5","0","3","all","ms"
"sigma.psi.sp",0.709,0.595,0.852,1.006,0.5,"-0.5","0","3","all","ms"
"mu.psi.yr",-0.539,-0.635,-0.451,1.003,-0.5,"-0.5","0","3","all","ms"
"sigma.psi.yr",0.201,0.112,0.287,1.062,0.2,"-0.5","0","3","all","ms"
"mu.p",-2.036,-2.137,-1.916,1.04,-0.5,"-0.5","0","3","all","ms"
"sigma.p.sp",0.252,0.205,0.321,1.015,NA,"-0.5","0","3","all","ms"
"p.yr",-0.422,-0.544,-0.311,1.014,-0.5,"-0.5","0","3","all","ms"
"sigma.p.site",1.511,1.456,1.56,1.006,1.5,"-0.5","0","3","all","ms"
"per_chage_bci",-22.3303890585924,-27.6423783521027,-18.3957486211049,NA,-24.4918662403709,"-0.5","0","3","all","ms"
"mu.psi",0.406,0.279,0.538,1.098,0,"-1","-0.5","3","all","ms"
